,site1,site2,value
188,"('ป้อมปราบศัตรูพ่าย', 'กรุงเทพมหานคร')","('สาทร', 'กรุงเทพมหานคร')",1
189,"('ป้อมปราบศัตรูพ่าย', 'กรุงเทพมหานคร')","('ราชเทวี', 'กรุงเทพมหานคร')",1
190,"('มีนบุรี', 'กรุงเทพมหานคร')","('หนองจอก', 'กรุงเทพมหานคร')",1
191,"('มีนบุรี', 'กรุงเทพมหานคร')","('บางเขน', 'กรุงเทพมหานคร')",1
192,"('มีนบุรี', 'กรุงเทพมหานคร')","('บางกะปิ', 'กรุงเทพมหานคร')",1
193,"('มีนบุรี', 'กรุงเทพมหานคร')","('มีนบุรี', 'กรุงเทพมหานคร')",1
194,"('มีนบุรี', 'กรุงเทพมหานคร')","('ลาดกระบัง', 'กรุงเทพมหานคร')",1
195,"('มีนบุรี', 'กรุงเทพมหานคร')","('คันนายาว', 'กรุงเทพมหานคร')",1
196,"('มีนบุรี', 'กรุงเทพมหานคร')","('สะพานสูง', 'กรุงเทพมหานคร')",1
197,"('มีนบุรี', 'กรุงเทพมหานคร')","('คลองสามวา', 'กรุงเทพมหานคร')",1
198,"('สัมพันธวงศ์', 'กรุงเทพมหานคร')","('พระนคร', 'กรุงเทพมหานคร')",1
199,"('สัมพันธวงศ์', 'กรุงเทพมหานคร')","('ดุสิต', 'กรุงเทพมหานคร')",1
200,"('สัมพันธวงศ์', 'กรุงเทพมหานคร')","('บางรัก', 'กรุงเทพมหานคร')",1
201,"('สัมพันธวงศ์', 'กรุงเทพมหานคร')","('พญาไท', 'กรุงเทพมหานคร')",1
202,"('สัมพันธวงศ์', 'กรุงเทพมหานคร')","('ปทุมวัน', 'กรุงเทพมหานคร')",1
203,"('สัมพันธวงศ์', 'กรุงเทพมหานคร')","('ป้อมปราบศัตรูพ่าย', 'กรุงเทพมหานคร')",1
204,"('สัมพันธวงศ์', 'กรุงเทพมหานคร')","('สัมพันธวงศ์', 'กรุงเทพมหานคร')",1
205,"('สัมพันธวงศ์', 'กรุงเทพมหานคร')","('ยานนาวา', 'กรุงเทพมหานคร')",1
206,"('สัมพันธวงศ์', 'กรุงเทพมหานคร')","('ธนบุรี', 'กรุงเทพมหานคร')",1
207,"('สัมพันธวงศ์', 'กรุงเทพมหานคร')","('บางกอกใหญ่', 'กรุงเทพมหานคร')",1
208,"('สัมพันธวงศ์', 'กรุงเทพมหานคร')","('คลองสาน', 'กรุงเทพมหานคร')",1
209,"('สัมพันธวงศ์', 'กรุงเทพมหานคร')","('บางกอกน้อย', 'กรุงเทพมหานคร')",1
210,"('สัมพันธวงศ์', 'กรุงเทพมหานคร')","('บางพลัด', 'กรุงเทพมหานคร')",1
211,"('สัมพันธวงศ์', 'กรุงเทพมหานคร')","('สาทร', 'กรุงเทพมหานคร')",1
212,"('สัมพันธวงศ์', 'กรุงเทพมหานคร')","('บางคอแหลม', 'กรุงเทพมหานคร')",1
