,ap_tn,pv_tn
541,ไม้แก่น,ปัตตานี
542,ยะหริ่ง,ปัตตานี
543,ยะรัง,ปัตตานี
544,กะพ้อ,ปัตตานี
545,แม่ลาน,ปัตตานี
546,เมืองยะลา,ยะลา
547,เบตง,ยะลา
548,บันนังสตา,ยะลา
549,ธารโต,ยะลา
550,ยะหา,ยะลา
551,รามัน,ยะลา
552,กาบัง,ยะลา
553,กรงปีนัง,ยะลา
554,เมืองนราธิวาส,นราธิวาส
555,ตากใบ,นราธิวาส
556,บาเจาะ,นราธิวาส
557,เจาะไอร้อง,นราธิวาส
558,เมืองนครราชสีมา,นครราชสีมา
559,ครบุรี,นครราชสีมา
560,ปักธงชัย,นครราชสีมา
561,พิมาย,นครราชสีมา
562,ห้วยแถลง,นครราชสีมา
563,ชุมพวง,นครราชสีมา
564,สูงเนิน,นครราชสีมา
565,นางรอง,บุรีรัมย์
566,บ้านกรวด,บุรีรัมย์
567,พุทไธสง,บุรีรัมย์
568,ลำปลายมาศ,บุรีรัมย์
569,สตึก,บุรีรัมย์
570,เมืองชัยภูมิ,ชัยภูมิ
571,บ้านเขว้า,ชัยภูมิ
572,คอนสวรรค์,ชัยภูมิ
573,เกษตรสมบูรณ์,ชัยภูมิ
574,หนองบัวแดง,ชัยภูมิ
575,จัตุรัส,ชัยภูมิ
576,บำเหน็จณรงค์,ชัยภูมิ
577,หนองบัวระเหว,ชัยภูมิ
578,เทพสถิต,ชัยภูมิ
579,ภูเขียว,ชัยภูมิ
580,บ้านแท่น,ชัยภูมิ
581,ภักดีชุมพล,ชัยภูมิ
582,พรเจริญ,บึงกาฬ
583,โซ่พิสัย,บึงกาฬ
584,เซกา,บึงกาฬ
585,ปากคาด,บึงกาฬ
586,บึงโขงหลง,บึงกาฬ
587,ศรีวิไล,บึงกาฬ
588,บุ่งคล้า,บึงกาฬ
589,เมืองหนองบัวลำภู,หนองบัวลำภู
590,นากลาง,หนองบัวลำภู
591,โนนสัง,หนองบัวลำภู
592,ศรีบุญเรือง,หนองบัวลำภู
593,สุวรรณคูหา,หนองบัวลำภู
594,นาวัง,หนองบัวลำภู
595,เมืองขอนแก่น,ขอนแก่น
596,บ้านฝาง,ขอนแก่น
597,พระยืน,ขอนแก่น
598,หนองเรือ,ขอนแก่น
599,ชุมแพ,ขอนแก่น
600,สีชมพู,ขอนแก่น
601,น้ำพอง,ขอนแก่น
602,อุบลรัตน์,ขอนแก่น
603,กระนวน,ขอนแก่น
604,บ้านไผ่,ขอนแก่น
605,เปือยน้อย,ขอนแก่น
606,พล,ขอนแก่น
607,แวงใหญ่,ขอนแก่น
608,แวงน้อย,ขอนแก่น
609,หนองสองห้อง,ขอนแก่น
610,ภูเวียง,ขอนแก่น
611,มัญจาคีรี,ขอนแก่น
612,ชนบท,ขอนแก่น
613,เขาสวนกวาง,ขอนแก่น
614,ภูผาม่าน,ขอนแก่น
615,ซำสูง,ขอนแก่น
616,โคกโพธิ์ไชย,ขอนแก่น
617,หนองนาคำ,ขอนแก่น
618,บ้านแฮด,ขอนแก่น
619,โนนศิลา,ขอนแก่น
620,เมืองอุดรธานี,อุดรธานี
621,กุดจับ,อุดรธานี
622,หนองวัวซอ,อุดรธานี
623,กุมภวาปี,อุดรธานี
624,โนนสะอาด,อุดรธานี
625,หนองหาน,อุดรธานี
626,ทุ่งฝน,อุดรธานี
627,ไชยวาน,อุดรธานี
628,ศรีธาตุ,อุดรธานี
629,วังสามหมอ,อุดรธานี
630,บ้านดุง,อุดรธานี
631,บ้านผือ,อุดรธานี
632,น้ำโสม,อุดรธานี
633,เพ็ญ,อุดรธานี
634,สร้างคอม,อุดรธานี
635,หนองแสง,อุดรธานี
636,นายูง,อุดรธานี
637,พิบูลย์รักษ์,อุดรธานี
638,เสิงสาง,นครราชสีมา
639,คง,นครราชสีมา
640,นาแห้ว,เลย
641,บ้านเหลื่อม,นครราชสีมา
642,จักราช,นครราชสีมา
643,ภูเรือ,เลย
644,ท่าลี่,เลย
645,วังสะพุง,เลย
646,ภูกระดึง,เลย
647,ภูหลวง,เลย
648,ผาขาว,เลย
649,เอราวัณ,เลย
650,โชคชัย,นครราชสีมา
651,ด่านขุนทด,นครราชสีมา
652,หนองหิน,เลย
653,เมืองหนองคาย,หนองคาย
654,ท่าบ่อ,หนองคาย
655,โพนพิสัย,หนองคาย
656,ศรีเชียงใหม่,หนองคาย
657,สังคม,หนองคาย
658,สระใคร,หนองคาย
659,เฝ้าไร่,หนองคาย
660,รัตนวาปี,หนองคาย
661,โพธิ์ตาก,หนองคาย
662,โนนไทย,นครราชสีมา
663,โนนสูง,นครราชสีมา
664,ขามสะแกแสง,นครราชสีมา
665,หนองหงส์,บุรีรัมย์
666,บัวใหญ่,นครราชสีมา
667,ประทาย,นครราชสีมา
668,ขามทะเลสอ,นครราชสีมา
669,สีคิ้ว,นครราชสีมา
670,ปากช่อง,นครราชสีมา
671,สำโรงทาบ,สุรินทร์
672,บัวเชด,สุรินทร์
673,พนมดงรัก,สุรินทร์
674,ศรีณรงค์,สุรินทร์
675,เขวาสินรินทร์,สุรินทร์
676,โนนนารายณ์,สุรินทร์
677,หนองบุญมาก,นครราชสีมา
678,แก้งสนามนาง,นครราชสีมา
679,เมืองศรีสะเกษ,ศรีสะเกษ
680,เมืองมหาสารคาม,มหาสารคาม
681,โนนแดง,นครราชสีมา
682,วังน้ำเขียว,นครราชสีมา
683,น้ำเกลี้ยง,ศรีสะเกษ
684,วังหิน,ศรีสะเกษ
685,ภูสิงห์,ศรีสะเกษ
686,เมืองจันทร์,ศรีสะเกษ
687,เบญจลักษ์,ศรีสะเกษ
688,พยุห์,ศรีสะเกษ
689,โพธิ์ศรีสุวรรณ,ศรีสะเกษ
690,ศิลาลาด,ศรีสะเกษ
691,เมืองอุบลราชธานี,อุบลราชธานี
692,ศรีเมืองใหม่,อุบลราชธานี
693,เทพารักษ์,นครราชสีมา
694,เมืองยาง,นครราชสีมา
695,โขงเจียม,อุบลราชธานี
696,เขื่องใน,อุบลราชธานี
697,เขมราฐ,อุบลราชธานี
698,เดชอุดม,อุบลราชธานี
699,นาจะหลวย,อุบลราชธานี
700,น้ำยืน,อุบลราชธานี
701,บุณฑริก,อุบลราชธานี
702,ตระการพืชผล,อุบลราชธานี
703,กุดข้าวปุ้น,อุบลราชธานี
704,ม่วงสามสิบ,อุบลราชธานี
