amphoe_id,romanized_amphoe,thai_amphoe,province_id
430,Amphoe Hua Sai,อำเภอหัวไทร,22
431,Amphoe Khanom,อำเภอขนอม,22
432,Amphoe Lan Saka,อำเภอลานสกา,22
433,Amphoe Na Bon,อำเภอนาบอน,22
434,Amphoe Nopphitam,อำเภอนบพิตำ,22
435,Amphoe Pak Phanang,อำเภอปากพนัง,22
436,Amphoe Phipun,อำเภอพิปูน,22
437,Amphoe Phra Phrom,อำเภอพระพรหม,22
438,Amphoe Phrom  Khiri,อำเภอพรหมคีรี,22
439,Amphoe Ron Phibun,อำเภอร่อนพิบูลย์,22
440,Amphoe Sichon,อำเภอสิชล,22
441,Amphoe Tha Sala,อำเภอท่าศาลา,22
442,Amphoe Tham Phannara,อำเภอถ้ำพรรณรา,22
443,Amphoe Thung Song,อำเภอทุ่งสง,22
444,Amphoe Thung Yai,อำเภอทุ่งใหญ่,22
445,Amphoe Mueang Nan,อำเภอเมืองน่าน,26
446,Amphoe Ban Luang,อำเภอบ้านหลวง,26
447,Amphoe Bo Kluea,อำเภอบ่อเกลือ,26
448,Amphoe Chaloem Phra Kiat,อำเภอเฉลิมพระเกียติ,26
449,Amphoe Chiang Klang,อำเภอเชียงกลาง,26
450,Amphoe Mae Charim,อำเภอแม่จริม,26
451,Amphoe Na Muen,อำเภอนาหมื่น,26
452,Amphoe Na Noi,อำเภอนาน้อย,26
453,Amphoe Phu Phiang,อำเภอภูเพียง,26
454,Amphoe Pua,อำเภอปัว,26
455,Amphoe Santi Suk,อำเภอสันติสุข,26
456,Amphoe Song Khwae,อำเภอสองแคว,26
457,Amphoe Tha Wang Pha,อำเภอท่าวังผา,26
458,Amphoe Thung Chang,อำเภอทุ่งช้าง,26
459,Amphoe Wiang Sa,อำเภอเวียงสา,26
460,Amphoe Mueang Narathiwat,อำเภอเมืองนราธิวาส,25
